"Time (CET/CEST)","BZN|BE > BZN|GB [MW]","BZN|GB > BZN|BE [MW]"
"01.01.2021 00:00 - 01.01.2021 00:15","1023","0"
"01.01.2021 00:15 - 01.01.2021 00:30","1023","0"
"01.01.2021 00:30 - 01.01.2021 00:45","1023","0"
"01.01.2021 00:45 - 01.01.2021 01:00","1023","0"
"01.01.2021 01:00 - 01.01.2021 01:15","1023","0"
"01.01.2021 01:15 - 01.01.2021 01:30","1023","0"
"01.01.2021 01:30 - 01.01.2021 01:45","1023","0"
"01.01.2021 01:45 - 01.01.2021 02:00","1023","0"
"01.01.2021 02:00 - 01.01.2021 02:15","1023","0"
"01.01.2021 02:15 - 01.01.2021 02:30","1023","0"
"01.01.2021 02:30 - 01.01.2021 02:45","1023","0"
"01.01.2021 02:45 - 01.01.2021 03:00","1023","0"
"01.01.2021 03:00 - 01.01.2021 03:15","1023","0"
"01.01.2021 03:15 - 01.01.2021 03:30","1023","0"
"01.01.2021 03:30 - 01.01.2021 03:45","1023","0"
"01.01.2021 03:45 - 01.01.2021 04:00","1022","0"
"01.01.2021 04:00 - 01.01.2021 04:15","923","0"
"01.01.2021 04:15 - 01.01.2021 04:30","923","0"
"01.01.2021 04:30 - 01.01.2021 04:45","923","0"
"01.01.2021 04:45 - 01.01.2021 05:00","923","0"
"01.01.2021 05:00 - 01.01.2021 05:15","923","0"
"01.01.2021 05:15 - 01.01.2021 05:30","923","0"
"01.01.2021 05:30 - 01.01.2021 05:45","923","0"
"01.01.2021 05:45 - 01.01.2021 06:00","923","0"
"01.01.2021 06:00 - 01.01.2021 06:15","923","0"
"01.01.2021 06:15 - 01.01.2021 06:30","923","0"
"01.01.2021 06:30 - 01.01.2021 06:45","923","0"
"01.01.2021 06:45 - 01.01.2021 07:00","923","0"
"01.01.2021 07:00 - 01.01.2021 07:15","973","0"
"01.01.2021 07:15 - 01.01.2021 07:30","973","0"
"01.01.2021 07:30 - 01.01.2021 07:45","973","0"
"01.01.2021 07:45 - 01.01.2021 08:00","973","0"
"01.01.2021 08:00 - 01.01.2021 08:15","973","0"
"01.01.2021 08:15 - 01.01.2021 08:30","973","0"
"01.01.2021 08:30 - 01.01.2021 08:45","973","0"
"01.01.2021 08:45 - 01.01.2021 09:00","972","0"
"01.01.2021 09:00 - 01.01.2021 09:15","827","0"
"01.01.2021 09:15 - 01.01.2021 09:30","826","0"
"01.01.2021 09:30 - 01.01.2021 09:45","826","0"
"01.01.2021 09:45 - 01.01.2021 10:00","829","0"
"01.01.2021 10:00 - 01.01.2021 10:15","1020","0"
"01.01.2021 10:15 - 01.01.2021 10:30","1023","0"
"01.01.2021 10:30 - 01.01.2021 10:45","1023","0"
"01.01.2021 10:45 - 01.01.2021 11:00","1023","0"
"01.01.2021 11:00 - 01.01.2021 11:15","1023","0"
"01.01.2021 11:15 - 01.01.2021 11:30","1023","0"
"01.01.2021 11:30 - 01.01.2021 11:45","1023","0"
"01.01.2021 11:45 - 01.01.2021 12:00","1023","0"
"01.01.2021 12:00 - 01.01.2021 12:15","992","0"
"01.01.2021 12:15 - 01.01.2021 12:30","992","0"
"01.01.2021 12:30 - 01.01.2021 12:45","991","0"
"01.01.2021 12:45 - 01.01.2021 13:00","992","0"
"01.01.2021 13:00 - 01.01.2021 13:15","1023","0"
"01.01.2021 13:15 - 01.01.2021 13:30","1023","0"
"01.01.2021 13:30 - 01.01.2021 13:45","1023","0"
"01.01.2021 13:45 - 01.01.2021 14:00","1023","0"
"01.01.2021 14:00 - 01.01.2021 14:15","1023","0"
"01.01.2021 14:15 - 01.01.2021 14:30","1023","0"
"01.01.2021 14:30 - 01.01.2021 14:45","1023","0"
"01.01.2021 14:45 - 01.01.2021 15:00","1023","0"
"01.01.2021 15:00 - 01.01.2021 15:15","1023","0"
"01.01.2021 15:15 - 01.01.2021 15:30","1023","0"
"01.01.2021 15:30 - 01.01.2021 15:45","1023","0"
"01.01.2021 15:45 - 01.01.2021 16:00","1023","0"
"01.01.2021 16:00 - 01.01.2021 16:15","1023","0"
"01.01.2021 16:15 - 01.01.2021 16:30","1023","0"
"01.01.2021 16:30 - 01.01.2021 16:45","1023","0"
"01.01.2021 16:45 - 01.01.2021 17:00","1023","0"
"01.01.2021 17:00 - 01.01.2021 17:15","1044","0"
"01.01.2021 17:15 - 01.01.2021 17:30","1044","0"
"01.01.2021 17:30 - 01.01.2021 17:45","1044","0"
"01.01.2021 17:45 - 01.01.2021 18:00","1044","0"
"01.01.2021 18:00 - 01.01.2021 18:15","1044","0"
"01.01.2021 18:15 - 01.01.2021 18:30","1044","0"
"01.01.2021 18:30 - 01.01.2021 18:45","1044","0"
"01.01.2021 18:45 - 01.01.2021 19:00","1044","0"
"01.01.2021 19:00 - 01.01.2021 19:15","1044","0"
"01.01.2021 19:15 - 01.01.2021 19:30","1044","0"
"01.01.2021 19:30 - 01.01.2021 19:45","1044","0"
"01.01.2021 19:45 - 01.01.2021 20:00","1044","0"
"01.01.2021 20:00 - 01.01.2021 20:15","1044","0"
"01.01.2021 20:15 - 01.01.2021 20:30","1044","0"
"01.01.2021 20:30 - 01.01.2021 20:45","1044","0"
"01.01.2021 20:45 - 01.01.2021 21:00","1044","0"
"01.01.2021 21:00 - 01.01.2021 21:15","1044","0"
"01.01.2021 21:15 - 01.01.2021 21:30","1044","0"
"01.01.2021 21:30 - 01.01.2021 21:45","1044","0"
"01.01.2021 21:45 - 01.01.2021 22:00","1044","0"
"01.01.2021 22:00 - 01.01.2021 22:15","1023","0"
"01.01.2021 22:15 - 01.01.2021 22:30","1023","0"
