Time (CET/CEST),BZN|IE(SEM) > BZN|GB [MW],BZN|GB > BZN|IE(SEM) [MW]
02.01.2022 16:00 - 02.01.2022 17:00,139,0
02.01.2022 17:00 - 02.01.2022 18:00,225,0
02.01.2022 18:00 - 02.01.2022 19:00,303,0
02.01.2022 19:00 - 02.01.2022 20:00,310,18
02.01.2022 20:00 - 02.01.2022 21:00,147,59
02.01.2022 21:00 - 02.01.2022 22:00,90,20
02.01.2022 22:00 - 02.01.2022 23:00,50,26
02.01.2022 23:00 - 03.01.2022 00:00,163,0
03.01.2022 00:00 - 03.01.2022 01:00,223,18
03.01.2022 01:00 - 03.01.2022 02:00,201,0
03.01.2022 02:00 - 03.01.2022 03:00,21,62
03.01.2022 03:00 - 03.01.2022 04:00,169,257
03.01.2022 04:00 - 03.01.2022 05:00,309,345
03.01.2022 05:00 - 03.01.2022 06:00,154,353
03.01.2022 06:00 - 03.01.2022 07:00,186,233
03.01.2022 07:00 - 03.01.2022 08:00,356,24
03.01.2022 08:00 - 03.01.2022 09:00,502,0
03.01.2022 09:00 - 03.01.2022 10:00,499,0
03.01.2022 10:00 - 03.01.2022 11:00,385,0
03.01.2022 11:00 - 03.01.2022 12:00,163,0
03.01.2022 12:00 - 03.01.2022 13:00,30,31
03.01.2022 13:00 - 03.01.2022 14:00,18,93
03.01.2022 14:00 - 03.01.2022 15:00,14,86
03.01.2022 15:00 - 03.01.2022 16:00,126,0
03.01.2022 16:00 - 03.01.2022 17:00,309,0
03.01.2022 17:00 - 03.01.2022 18:00,223,0
03.01.2022 18:00 - 03.01.2022 19:00,185,55
03.01.2022 19:00 - 03.01.2022 20:00,64,34
03.01.2022 20:00 - 03.01.2022 21:00,111,0
03.01.2022 21:00 - 03.01.2022 22:00,237,0
03.01.2022 22:00 - 03.01.2022 23:00,58,29
03.01.2022 23:00 - 04.01.2022 00:00,53,49
04.01.2022 00:00 - 04.01.2022 01:00,37,102
04.01.2022 01:00 - 04.01.2022 02:00,113,0
04.01.2022 02:00 - 04.01.2022 03:00,170,0
04.01.2022 03:00 - 04.01.2022 04:00,209,18
04.01.2022 04:00 - 04.01.2022 05:00,45,27
04.01.2022 05:00 - 04.01.2022 06:00,0,49
04.01.2022 06:00 - 04.01.2022 07:00,93,0
04.01.2022 07:00 - 04.01.2022 08:00,250,0
04.01.2022 08:00 - 04.01.2022 09:00,368,0
04.01.2022 09:00 - 04.01.2022 10:00,349,0
04.01.2022 10:00 - 04.01.2022 11:00,205,0
04.01.2022 11:00 - 04.01.2022 12:00,14,10
04.01.2022 12:00 - 04.01.2022 13:00,0,113
04.01.2022 13:00 - 04.01.2022 14:00,0,262
04.01.2022 14:00 - 04.01.2022 15:00,0,244
04.01.2022 15:00 - 04.01.2022 16:00,0,144
04.01.2022 16:00 - 04.01.2022 17:00,0,120
04.01.2022 17:00 - 04.01.2022 18:00,0,433
04.01.2022 18:00 - 04.01.2022 19:00,0,739
04.01.2022 19:00 - 04.01.2022 20:00,0,787
04.01.2022 20:00 - 04.01.2022 21:00,0,825
04.01.2022 21:00 - 04.01.2022 22:00,0,820
04.01.2022 22:00 - 04.01.2022 23:00,0,695
04.01.2022 23:00 - 05.01.2022 00:00,0,838
05.01.2022 00:00 - 05.01.2022 01:00,0,893
05.01.2022 01:00 - 05.01.2022 02:00,0,891
05.01.2022 02:00 - 05.01.2022 03:00,0,876
05.01.2022 03:00 - 05.01.2022 04:00,0,984
05.01.2022 04:00 - 05.01.2022 05:00,0,984
05.01.2022 05:00 - 05.01.2022 06:00,0,981
05.01.2022 06:00 - 05.01.2022 07:00,0,776
05.01.2022 07:00 - 05.01.2022 08:00,0,532
05.01.2022 08:00 - 05.01.2022 09:00,0,505
05.01.2022 09:00 - 05.01.2022 10:00,0,609
05.01.2022 10:00 - 05.01.2022 11:00,0,492
05.01.2022 11:00 - 05.01.2022 12:00,0,552
05.01.2022 12:00 - 05.01.2022 13:00,0,676
05.01.2022 13:00 - 05.01.2022 14:00,0,705
05.01.2022 14:00 - 05.01.2022 15:00,0,716
05.01.2022 15:00 - 05.01.2022 16:00,0,591
05.01.2022 16:00 - 05.01.2022 17:00,0,774
05.01.2022 17:00 - 05.01.2022 18:00,0,654
05.01.2022 18:00 - 05.01.2022 19:00,0,649
05.01.2022 19:00 - 05.01.2022 20:00,0,598
05.01.2022 20:00 - 05.01.2022 21:00,18,244
05.01.2022 21:00 - 05.01.2022 22:00,18,32
05.01.2022 22:00 - 05.01.2022 23:00,49,0
05.01.2022 23:00 - 06.01.2022 00:00,98,16
06.01.2022 00:00 - 06.01.2022 01:00,102,25
06.01.2022 01:00 - 06.01.2022 02:00,141,0
06.01.2022 02:00 - 06.01.2022 03:00,468,0
06.01.2022 03:00 - 06.01.2022 04:00,688,0
06.01.2022 04:00 - 06.01.2022 05:00,855,0
06.01.2022 05:00 - 06.01.2022 06:00,882,0
06.01.2022 06:00 - 06.01.2022 07:00,883,0
06.01.2022 07:00 - 06.01.2022 08:00,883,0
06.01.2022 08:00 - 06.01.2022 09:00,862,0
06.01.2022 09:00 - 06.01.2022 10:00,772,0
06.01.2022 10:00 - 06.01.2022 11:00,751,0
06.01.2022 11:00 - 06.01.2022 12:00,566,0
06.01.2022 12:00 - 06.01.2022 13:00,572,0
06.01.2022 13:00 - 06.01.2022 14:00,381,0
06.01.2022 14:00 - 06.01.2022 15:00,266,0
06.01.2022 15:00 - 06.01.2022 16:00,268,0
06.01.2022 16:00 - 06.01.2022 17:00,252,0
06.01.2022 17:00 - 06.01.2022 18:00,425,0
06.01.2022 18:00 - 06.01.2022 19:00,288,0
06.01.2022 19:00 - 06.01.2022 20:00,80,0
06.01.2022 20:00 - 06.01.2022 21:00,88,0
06.01.2022 21:00 - 06.01.2022 22:00,68,0
06.01.2022 22:00 - 06.01.2022 23:00,117,10
06.01.2022 23:00 - 07.01.2022 00:00,318,0
07.01.2022 00:00 - 07.01.2022 01:00,419,0
07.01.2022 01:00 - 07.01.2022 02:00,449,0
07.01.2022 02:00 - 07.01.2022 03:00,580,0
07.01.2022 03:00 - 07.01.2022 04:00,695,0
07.01.2022 04:00 - 07.01.2022 05:00,713,0
07.01.2022 05:00 - 07.01.2022 06:00,750,0
07.01.2022 06:00 - 07.01.2022 07:00,749,0
07.01.2022 07:00 - 07.01.2022 08:00,567,0
07.01.2022 08:00 - 07.01.2022 09:00,346,0
07.01.2022 09:00 - 07.01.2022 10:00,259,0
07.01.2022 10:00 - 07.01.2022 11:00,107,0
07.01.2022 11:00 - 07.01.2022 12:00,0,62
07.01.2022 12:00 - 07.01.2022 13:00,0,76
07.01.2022 13:00 - 07.01.2022 14:00,0,166
07.01.2022 14:00 - 07.01.2022 15:00,0,78
07.01.2022 15:00 - 07.01.2022 16:00,0,186
07.01.2022 16:00 - 07.01.2022 17:00,0,139
07.01.2022 17:00 - 07.01.2022 18:00,0,239
07.01.2022 18:00 - 07.01.2022 19:00,0,370
07.01.2022 19:00 - 07.01.2022 20:00,0,434
07.01.2022 20:00 - 07.01.2022 21:00,0,350
07.01.2022 21:00 - 07.01.2022 22:00,31,122
07.01.2022 22:00 - 07.01.2022 23:00,170,0
07.01.2022 23:00 - 08.01.2022 00:00,648,0
08.01.2022 00:00 - 08.01.2022 01:00,781,0
08.01.2022 01:00 - 08.01.2022 02:00,646,0
08.01.2022 02:00 - 08.01.2022 03:00,866,0
08.01.2022 03:00 - 08.01.2022 04:00,902,0
08.01.2022 04:00 - 08.01.2022 05:00,878,0
08.01.2022 05:00 - 08.01.2022 06:00,782,0
08.01.2022 06:00 - 08.01.2022 07:00,782,0
08.01.2022 07:00 - 08.01.2022 08:00,782,0
08.01.2022 08:00 - 08.01.2022 09:00,762,0
08.01.2022 09:00 - 08.01.2022 10:00,590,0
08.01.2022 10:00 - 08.01.2022 11:00,546,0
08.01.2022 11:00 - 08.01.2022 12:00,411,0
08.01.2022 12:00 - 08.01.2022 13:00,347,0
08.01.2022 13:00 - 08.01.2022 14:00,291,0
08.01.2022 14:00 - 08.01.2022 15:00,297,0
08.01.2022 15:00 - 08.01.2022 16:00,433,0
08.01.2022 16:00 - 08.01.2022 17:00,392,0
08.01.2022 17:00 - 08.01.2022 18:00,476,0
08.01.2022 18:00 - 08.01.2022 19:00,327,0
08.01.2022 19:00 - 08.01.2022 20:00,130,0
08.01.2022 20:00 - 08.01.2022 21:00,172,0
08.01.2022 21:00 - 08.01.2022 22:00,217,0
08.01.2022 22:00 - 08.01.2022 23:00,435,0
08.01.2022 23:00 - 09.01.2022 00:00,334,0
09.01.2022 00:00 - 09.01.2022 01:00,278,0
09.01.2022 01:00 - 09.01.2022 02:00,559,0
09.01.2022 02:00 - 09.01.2022 03:00,721,0
09.01.2022 03:00 - 09.01.2022 04:00,680,0
09.01.2022 04:00 - 09.01.2022 05:00,706,0
09.01.2022 05:00 - 09.01.2022 06:00,729,0
09.01.2022 06:00 - 09.01.2022 07:00,745,0
09.01.2022 07:00 - 09.01.2022 08:00,769,0
09.01.2022 08:00 - 09.01.2022 09:00,781,0
09.01.2022 09:00 - 09.01.2022 10:00,697,0
09.01.2022 10:00 - 09.01.2022 11:00,744,0
09.01.2022 11:00 - 09.01.2022 12:00,648,0
09.01.2022 12:00 - 09.01.2022 13:00,514,0
09.01.2022 13:00 - 09.01.2022 14:00,575,0
09.01.2022 14:00 - 09.01.2022 15:00,488,0
09.01.2022 15:00 - 09.01.2022 16:00,274,0
09.01.2022 16:00 - 09.01.2022 17:00,46,58
09.01.2022 17:00 - 09.01.2022 18:00,0,380
09.01.2022 18:00 - 09.01.2022 19:00,0,717
