"Time (CET/CEST)","BZN|IE(SEM) > BZN|GB [MW]","BZN|GB > BZN|IE(SEM) [MW]"
"01.01.2018 00:00 - 01.01.2018 01:00","486","1"
"01.01.2018 01:00 - 01.01.2018 02:00","612","0"
"01.01.2018 02:00 - 01.01.2018 03:00","632","0"
"01.01.2018 03:00 - 01.01.2018 04:00","640","0"
"01.01.2018 04:00 - 01.01.2018 05:00","640","0"
"01.01.2018 05:00 - 01.01.2018 06:00","640","0"
"01.01.2018 06:00 - 01.01.2018 07:00","640","0"
"01.01.2018 07:00 - 01.01.2018 08:00","640","0"
"01.01.2018 08:00 - 01.01.2018 09:00","635","0"
"01.01.2018 09:00 - 01.01.2018 10:00","635","0"
"01.01.2018 10:00 - 01.01.2018 11:00","635","0"
"01.01.2018 11:00 - 01.01.2018 12:00","635","0"
"01.01.2018 12:00 - 01.01.2018 13:00","613","0"
"01.01.2018 13:00 - 01.01.2018 14:00","402","0"
"01.01.2018 14:00 - 01.01.2018 15:00","327","0"
"01.01.2018 15:00 - 01.01.2018 16:00","327","0"
"01.01.2018 16:00 - 01.01.2018 17:00","218","0"
"01.01.2018 17:00 - 01.01.2018 18:00","107","54"
"01.01.2018 18:00 - 01.01.2018 19:00","199","170"
"01.01.2018 19:00 - 01.01.2018 20:00","47","287"
"01.01.2018 20:00 - 01.01.2018 21:00","0","488"
"01.01.2018 21:00 - 01.01.2018 22:00","22","434"
"01.01.2018 22:00 - 01.01.2018 23:00","0","473"
"01.01.2018 23:00 - 02.01.2018 00:00","0","598"
"02.01.2018 00:00 - 02.01.2018 01:00","0","453"
"02.01.2018 01:00 - 02.01.2018 02:00","33","236"
"02.01.2018 02:00 - 02.01.2018 03:00","44","68"
"02.01.2018 03:00 - 02.01.2018 04:00","244","33"
"02.01.2018 04:00 - 02.01.2018 05:00","449","10"
"02.01.2018 05:00 - 02.01.2018 06:00","457","4"
"02.01.2018 06:00 - 02.01.2018 07:00","429","76"
"02.01.2018 07:00 - 02.01.2018 08:00","546","0"
"02.01.2018 08:00 - 02.01.2018 09:00","510","0"
"02.01.2018 09:00 - 02.01.2018 10:00","477","0"
"02.01.2018 10:00 - 02.01.2018 11:00","319","0"
"02.01.2018 11:00 - 02.01.2018 12:00","48","57"
"02.01.2018 12:00 - 02.01.2018 13:00","0","250"
"02.01.2018 13:00 - 02.01.2018 14:00","0","256"
"02.01.2018 14:00 - 02.01.2018 15:00","17","214"
"02.01.2018 15:00 - 02.01.2018 16:00","58","189"
"02.01.2018 16:00 - 02.01.2018 17:00","10","215"
"02.01.2018 17:00 - 02.01.2018 18:00","13","174"
"02.01.2018 18:00 - 02.01.2018 19:00","0","455"
"02.01.2018 19:00 - 02.01.2018 20:00","0","589"
"02.01.2018 20:00 - 02.01.2018 21:00","48","460"
"02.01.2018 21:00 - 02.01.2018 22:00","79","443"
"02.01.2018 22:00 - 02.01.2018 23:00","6","252"
"02.01.2018 23:00 - 03.01.2018 00:00","180","112"
"03.01.2018 00:00 - 03.01.2018 01:00","389","24"
"03.01.2018 01:00 - 03.01.2018 02:00","509","0"
"03.01.2018 02:00 - 03.01.2018 03:00","510","0"
"03.01.2018 03:00 - 03.01.2018 04:00","510","0"
"03.01.2018 04:00 - 03.01.2018 05:00","510","0"
"03.01.2018 05:00 - 03.01.2018 06:00","510","0"
"03.01.2018 06:00 - 03.01.2018 07:00","510","0"
"03.01.2018 07:00 - 03.01.2018 08:00","510","0"
"03.01.2018 08:00 - 03.01.2018 09:00","505","0"
"03.01.2018 09:00 - 03.01.2018 10:00","417","0"
"03.01.2018 10:00 - 03.01.2018 11:00","483","0"
"03.01.2018 11:00 - 03.01.2018 12:00","328","0"
"03.01.2018 12:00 - 03.01.2018 13:00","278","0"
"03.01.2018 13:00 - 03.01.2018 14:00","159","69"
"03.01.2018 14:00 - 03.01.2018 15:00","134","52"
"03.01.2018 15:00 - 03.01.2018 16:00","135","118"
"03.01.2018 16:00 - 03.01.2018 17:00","102","84"
"03.01.2018 17:00 - 03.01.2018 18:00","0","247"
"03.01.2018 18:00 - 03.01.2018 19:00","0","657"
"03.01.2018 19:00 - 03.01.2018 20:00","0","905"
"03.01.2018 20:00 - 03.01.2018 21:00","0","810"
"03.01.2018 21:00 - 03.01.2018 22:00","0","691"
"03.01.2018 22:00 - 03.01.2018 23:00","0","694"
"03.01.2018 23:00 - 04.01.2018 00:00","0","587"
"04.01.2018 00:00 - 04.01.2018 01:00","0","535"
"04.01.2018 01:00 - 04.01.2018 02:00","0","354"
"04.01.2018 02:00 - 04.01.2018 03:00","148","143"
"04.01.2018 03:00 - 04.01.2018 04:00","356","114"
"04.01.2018 04:00 - 04.01.2018 05:00","465","79"
"04.01.2018 05:00 - 04.01.2018 06:00","504","53"
"04.01.2018 06:00 - 04.01.2018 07:00","531","0"
"04.01.2018 07:00 - 04.01.2018 08:00","544","0"
"04.01.2018 08:00 - 04.01.2018 09:00","453","0"
"04.01.2018 09:00 - 04.01.2018 10:00","262","0"
"04.01.2018 10:00 - 04.01.2018 11:00","349","0"
"04.01.2018 11:00 - 04.01.2018 12:00","205","5"
"04.01.2018 12:00 - 04.01.2018 13:00","117","98"
"04.01.2018 13:00 - 04.01.2018 14:00","79","126"
"04.01.2018 14:00 - 04.01.2018 15:00","30","153"
"04.01.2018 15:00 - 04.01.2018 16:00","8","176"
"04.01.2018 16:00 - 04.01.2018 17:00","37","138"
"04.01.2018 17:00 - 04.01.2018 18:00","29","125"
"04.01.2018 18:00 - 04.01.2018 19:00","0","598"
"04.01.2018 19:00 - 04.01.2018 20:00","0","910"
"04.01.2018 20:00 - 04.01.2018 21:00","0","873"
"04.01.2018 21:00 - 04.01.2018 22:00","0","632"
"04.01.2018 22:00 - 04.01.2018 23:00","37","438"
"04.01.2018 23:00 - 05.01.2018 00:00","0","364"
"05.01.2018 00:00 - 05.01.2018 01:00","57","110"
"05.01.2018 01:00 - 05.01.2018 02:00","251","0"
"05.01.2018 02:00 - 05.01.2018 03:00","605","0"
"05.01.2018 03:00 - 05.01.2018 04:00","697","0"
"05.01.2018 04:00 - 05.01.2018 05:00","697","0"
"05.01.2018 05:00 - 05.01.2018 06:00","697","0"
"05.01.2018 06:00 - 05.01.2018 07:00","697","0"
"05.01.2018 07:00 - 05.01.2018 08:00","641","0"
"05.01.2018 08:00 - 05.01.2018 09:00","348","0"
"05.01.2018 09:00 - 05.01.2018 10:00","136","95"
"05.01.2018 10:00 - 05.01.2018 11:00","8","72"
"05.01.2018 11:00 - 05.01.2018 12:00","0","285"
"05.01.2018 12:00 - 05.01.2018 13:00","0","554"
"05.01.2018 13:00 - 05.01.2018 14:00","0","658"
"05.01.2018 14:00 - 05.01.2018 15:00","0","680"
"05.01.2018 15:00 - 05.01.2018 16:00","0","639"
"05.01.2018 16:00 - 05.01.2018 17:00","0","634"
"05.01.2018 17:00 - 05.01.2018 18:00","0","551"
"05.01.2018 18:00 - 05.01.2018 19:00","0","689"
"05.01.2018 19:00 - 05.01.2018 20:00","0","919"
"05.01.2018 20:00 - 05.01.2018 21:00","0","923"
"05.01.2018 21:00 - 05.01.2018 22:00","0","782"
