"Time (CET/CEST)","BZN|FR > BZN|GB(IFA2) [MW]","BZN|GB(IFA2) > BZN|FR [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","0","0"
"01.01.2022 01:00 - 01.01.2022 02:00","0","0"
"01.01.2022 02:00 - 01.01.2022 03:00","0","0"
"01.01.2022 03:00 - 01.01.2022 04:00","0","0"
"01.01.2022 04:00 - 01.01.2022 05:00","0","0"
"01.01.2022 05:00 - 01.01.2022 06:00","0","0"
"01.01.2022 06:00 - 01.01.2022 07:00","0","0"
"01.01.2022 07:00 - 01.01.2022 08:00","0","0"
"01.01.2022 08:00 - 01.01.2022 09:00","0","0"
"01.01.2022 09:00 - 01.01.2022 10:00","0","0"
"01.01.2022 10:00 - 01.01.2022 11:00","0","0"
"01.01.2022 11:00 - 01.01.2022 12:00","0","0"
"01.01.2022 12:00 - 01.01.2022 13:00","0","0"
"01.01.2022 13:00 - 01.01.2022 14:00","0","0"
"01.01.2022 14:00 - 01.01.2022 15:00","0","0"
"01.01.2022 15:00 - 01.01.2022 16:00","0","0"
"01.01.2022 16:00 - 01.01.2022 17:00","0","0"
"01.01.2022 17:00 - 01.01.2022 18:00","0","0"
"01.01.2022 18:00 - 01.01.2022 19:00","0","0"
"01.01.2022 19:00 - 01.01.2022 20:00","0","0"
"01.01.2022 20:00 - 01.01.2022 21:00","0","0"
"01.01.2022 21:00 - 01.01.2022 22:00","0","0"
"01.01.2022 22:00 - 01.01.2022 23:00","0","0"
"01.01.2022 23:00 - 02.01.2022 00:00","0","0"
"02.01.2022 00:00 - 02.01.2022 01:00","0","0"
"02.01.2022 01:00 - 02.01.2022 02:00","0","0"
"02.01.2022 02:00 - 02.01.2022 03:00","0","0"
"02.01.2022 03:00 - 02.01.2022 04:00","0","0"
"02.01.2022 04:00 - 02.01.2022 05:00","0","0"
"02.01.2022 05:00 - 02.01.2022 06:00","0","0"
"02.01.2022 06:00 - 02.01.2022 07:00","0","0"
"02.01.2022 07:00 - 02.01.2022 08:00","0","0"
"02.01.2022 08:00 - 02.01.2022 09:00","0","0"
"02.01.2022 09:00 - 02.01.2022 10:00","0","0"
"02.01.2022 10:00 - 02.01.2022 11:00","0","0"
"02.01.2022 11:00 - 02.01.2022 12:00","0","0"
"02.01.2022 12:00 - 02.01.2022 13:00","0","0"
"02.01.2022 13:00 - 02.01.2022 14:00","0","0"
"02.01.2022 14:00 - 02.01.2022 15:00","0","0"
"02.01.2022 15:00 - 02.01.2022 16:00","0","0"
"02.01.2022 16:00 - 02.01.2022 17:00","0","0"
"02.01.2022 17:00 - 02.01.2022 18:00","0","0"
"02.01.2022 18:00 - 02.01.2022 19:00","0","0"
"02.01.2022 19:00 - 02.01.2022 20:00","0","0"
"02.01.2022 20:00 - 02.01.2022 21:00","0","0"
"02.01.2022 21:00 - 02.01.2022 22:00","0","0"
"02.01.2022 22:00 - 02.01.2022 23:00","0","0"
"02.01.2022 23:00 - 03.01.2022 00:00","0","0"
"03.01.2022 00:00 - 03.01.2022 01:00","0","0"
"03.01.2022 01:00 - 03.01.2022 02:00","0","0"
"03.01.2022 02:00 - 03.01.2022 03:00","0","0"
"03.01.2022 03:00 - 03.01.2022 04:00","0","0"
"03.01.2022 04:00 - 03.01.2022 05:00","0","0"
"03.01.2022 05:00 - 03.01.2022 06:00","0","0"
"03.01.2022 06:00 - 03.01.2022 07:00","0","0"
"03.01.2022 07:00 - 03.01.2022 08:00","0","0"
"03.01.2022 08:00 - 03.01.2022 09:00","0","0"
"03.01.2022 09:00 - 03.01.2022 10:00","0","0"
"03.01.2022 10:00 - 03.01.2022 11:00","0","0"
"03.01.2022 11:00 - 03.01.2022 12:00","0","0"
"03.01.2022 12:00 - 03.01.2022 13:00","0","0"
"03.01.2022 13:00 - 03.01.2022 14:00","0","0"
"03.01.2022 14:00 - 03.01.2022 15:00","0","0"
"03.01.2022 15:00 - 03.01.2022 16:00","0","0"
"03.01.2022 16:00 - 03.01.2022 17:00","0","0"
"03.01.2022 17:00 - 03.01.2022 18:00","713","0"
"03.01.2022 18:00 - 03.01.2022 19:00","993","0"
"03.01.2022 19:00 - 03.01.2022 20:00","664","0"
"03.01.2022 20:00 - 03.01.2022 21:00","918","0"
"03.01.2022 21:00 - 03.01.2022 22:00","1018","0"
"03.01.2022 22:00 - 03.01.2022 23:00","1024","0"
"03.01.2022 23:00 - 04.01.2022 00:00","946","0"
"04.01.2022 00:00 - 04.01.2022 01:00","868","0"
"04.01.2022 01:00 - 04.01.2022 02:00","675","0"
"04.01.2022 02:00 - 04.01.2022 03:00","648","0"
"04.01.2022 03:00 - 04.01.2022 04:00","842","0"
"04.01.2022 04:00 - 04.01.2022 05:00","724","0"
"04.01.2022 05:00 - 04.01.2022 06:00","360","0"
"04.01.2022 06:00 - 04.01.2022 07:00","186","0"
"04.01.2022 07:00 - 04.01.2022 08:00","446","0"
"04.01.2022 08:00 - 04.01.2022 09:00","750","0"
"04.01.2022 09:00 - 04.01.2022 10:00","459","0"
"04.01.2022 10:00 - 04.01.2022 11:00","523","0"
"04.01.2022 11:00 - 04.01.2022 12:00","615","0"
"04.01.2022 12:00 - 04.01.2022 13:00","765","0"
"04.01.2022 13:00 - 04.01.2022 14:00","723","0"
"04.01.2022 14:00 - 04.01.2022 15:00","847","0"
"04.01.2022 15:00 - 04.01.2022 16:00","784","0"
"04.01.2022 16:00 - 04.01.2022 17:00","532","0"
"04.01.2022 17:00 - 04.01.2022 18:00","1012","0"
"04.01.2022 18:00 - 04.01.2022 19:00","1018","0"
"04.01.2022 19:00 - 04.01.2022 20:00","683","0"
"04.01.2022 20:00 - 04.01.2022 21:00","1016","0"
"04.01.2022 21:00 - 04.01.2022 22:00","1021","0"
"04.01.2022 22:00 - 04.01.2022 23:00","828","0"
"04.01.2022 23:00 - 05.01.2022 00:00","639","0"
"05.01.2022 00:00 - 05.01.2022 01:00","296","0"
