Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2021 15:00:05","31/12/2021","Storage, Long Range, Stock Levels","0.0000","31/12/2021 15:56:00",""
"31/12/2021 15:00:05","31/12/2021","Storage, Medium Range, Stock Levels","15882.9310","31/12/2021 15:56:00",""
"31/12/2021 15:00:05","31/12/2021","Storage, Short Range, Stock Levels","0.0000","31/12/2021 15:56:00",""
"30/12/2021 15:00:17","30/12/2021","Storage, Long Range, Stock Levels","0.0000","30/12/2021 15:56:00",""
"30/12/2021 15:00:17","30/12/2021","Storage, Medium Range, Stock Levels","15547.6091","30/12/2021 15:56:00",""
"30/12/2021 15:00:17","30/12/2021","Storage, Short Range, Stock Levels","0.0000","30/12/2021 15:56:00",""
"29/12/2021 15:00:16","29/12/2021","Storage, Long Range, Stock Levels","0.0000","29/12/2021 15:56:00",""
"29/12/2021 15:00:16","29/12/2021","Storage, Medium Range, Stock Levels","15386.5705","29/12/2021 15:56:00",""
"29/12/2021 15:00:16","29/12/2021","Storage, Short Range, Stock Levels","0.0000","29/12/2021 15:56:00",""
"28/12/2021 15:00:07","28/12/2021","Storage, Long Range, Stock Levels","0.0000","28/12/2021 15:56:00",""
"28/12/2021 15:00:07","28/12/2021","Storage, Medium Range, Stock Levels","15350.5736","28/12/2021 15:56:00",""
"28/12/2021 15:00:07","28/12/2021","Storage, Short Range, Stock Levels","0.0000","28/12/2021 15:56:00",""
"27/12/2021 15:00:07","27/12/2021","Storage, Long Range, Stock Levels","0.0000","27/12/2021 15:56:00",""
"27/12/2021 15:00:07","27/12/2021","Storage, Medium Range, Stock Levels","15333.0224","27/12/2021 15:56:00",""
"27/12/2021 15:00:07","27/12/2021","Storage, Short Range, Stock Levels","0.0000","27/12/2021 15:56:00",""
"26/12/2021 15:00:06","26/12/2021","Storage, Long Range, Stock Levels","0.0000","26/12/2021 15:56:00",""
"26/12/2021 15:00:06","26/12/2021","Storage, Medium Range, Stock Levels","15120.1014","26/12/2021 15:56:00",""
"26/12/2021 15:00:06","26/12/2021","Storage, Short Range, Stock Levels","0.0000","26/12/2021 15:56:00",""
"25/12/2021 15:00:08","25/12/2021","Storage, Long Range, Stock Levels","0.0000","25/12/2021 15:56:00",""
"25/12/2021 15:00:08","25/12/2021","Storage, Medium Range, Stock Levels","14841.4075","25/12/2021 15:56:00",""
"25/12/2021 15:00:08","25/12/2021","Storage, Short Range, Stock Levels","0.0000","25/12/2021 15:56:00",""
