"Time (CET/CEST)","BZN|NL > BZN|GB [MW]","BZN|GB > BZN|NL [MW]"
"01.01.2017 00:00 - 01.01.2017 01:00","926","0"
"01.01.2017 01:00 - 01.01.2017 02:00","884","0"
"01.01.2017 02:00 - 01.01.2017 03:00","839","0"
"01.01.2017 03:00 - 01.01.2017 04:00","873","0"
"01.01.2017 04:00 - 01.01.2017 05:00","873","0"
"01.01.2017 05:00 - 01.01.2017 06:00","873","0"
"01.01.2017 06:00 - 01.01.2017 07:00","873","0"
"01.01.2017 07:00 - 01.01.2017 08:00","873","0"
"01.01.2017 08:00 - 01.01.2017 09:00","873","0"
"01.01.2017 09:00 - 01.01.2017 10:00","923","0"
"01.01.2017 10:00 - 01.01.2017 11:00","1023","0"
"01.01.2017 11:00 - 01.01.2017 12:00","1023","0"
"01.01.2017 12:00 - 01.01.2017 13:00","1022","0"
"01.01.2017 13:00 - 01.01.2017 14:00","1022","0"
"01.01.2017 14:00 - 01.01.2017 15:00","1023","0"
"01.01.2017 15:00 - 01.01.2017 16:00","1023","0"
"01.01.2017 16:00 - 01.01.2017 17:00","1023","0"
"01.01.2017 17:00 - 01.01.2017 18:00","874","0"
"01.01.2017 18:00 - 01.01.2017 19:00","871","0"
"01.01.2017 19:00 - 01.01.2017 20:00","1023","0"
"01.01.2017 20:00 - 01.01.2017 21:00","825","0"
"01.01.2017 21:00 - 01.01.2017 22:00","897","0"
"01.01.2017 22:00 - 01.01.2017 23:00","946","0"
"01.01.2017 23:00 - 02.01.2017 00:00","707","0"
"02.01.2017 00:00 - 02.01.2017 01:00","909","0"
"02.01.2017 01:00 - 02.01.2017 02:00","933","0"
"02.01.2017 02:00 - 02.01.2017 03:00","904","0"
"02.01.2017 03:00 - 02.01.2017 04:00","923","0"
"02.01.2017 04:00 - 02.01.2017 05:00","923","0"
"02.01.2017 05:00 - 02.01.2017 06:00","923","0"
"02.01.2017 06:00 - 02.01.2017 07:00","918","0"
"02.01.2017 07:00 - 02.01.2017 08:00","900","0"
"02.01.2017 08:00 - 02.01.2017 09:00","403","0"
"02.01.2017 09:00 - 02.01.2017 10:00","678","0"
"02.01.2017 10:00 - 02.01.2017 11:00","896","0"
"02.01.2017 11:00 - 02.01.2017 12:00","977","0"
"02.01.2017 12:00 - 02.01.2017 13:00","954","0"
"02.01.2017 13:00 - 02.01.2017 14:00","983","0"
"02.01.2017 14:00 - 02.01.2017 15:00","994","0"
"02.01.2017 15:00 - 02.01.2017 16:00","1023","0"
"02.01.2017 16:00 - 02.01.2017 17:00","772","0"
"02.01.2017 17:00 - 02.01.2017 18:00","768","0"
"02.01.2017 18:00 - 02.01.2017 19:00","1040","0"
"02.01.2017 19:00 - 02.01.2017 20:00","1035","0"
"02.01.2017 20:00 - 02.01.2017 21:00","1031","0"
"02.01.2017 21:00 - 02.01.2017 22:00","1024","0"
"02.01.2017 22:00 - 02.01.2017 23:00","1012","0"
"02.01.2017 23:00 - 03.01.2017 00:00","1013","0"
"03.01.2017 00:00 - 03.01.2017 01:00","1008","0"
"03.01.2017 01:00 - 03.01.2017 02:00","977","0"
"03.01.2017 02:00 - 03.01.2017 03:00","1021","0"
"03.01.2017 03:00 - 03.01.2017 04:00","1029","0"
"03.01.2017 04:00 - 03.01.2017 05:00","1027","0"
"03.01.2017 05:00 - 03.01.2017 06:00","1033","0"
"03.01.2017 06:00 - 03.01.2017 07:00","1008","0"
"03.01.2017 07:00 - 03.01.2017 08:00","1009","0"
"03.01.2017 08:00 - 03.01.2017 09:00","813","0"
"03.01.2017 09:00 - 03.01.2017 10:00","1030","0"
"03.01.2017 10:00 - 03.01.2017 11:00","1020","0"
"03.01.2017 11:00 - 03.01.2017 12:00","1006","0"
"03.01.2017 12:00 - 03.01.2017 13:00","1028","0"
"03.01.2017 13:00 - 03.01.2017 14:00","1024","0"
"03.01.2017 14:00 - 03.01.2017 15:00","1024","0"
"03.01.2017 15:00 - 03.01.2017 16:00","1024","0"
"03.01.2017 16:00 - 03.01.2017 17:00","1020","0"
"03.01.2017 17:00 - 03.01.2017 18:00","1029","0"
"03.01.2017 18:00 - 03.01.2017 19:00","1013","0"
"03.01.2017 19:00 - 03.01.2017 20:00","1028","0"
"03.01.2017 20:00 - 03.01.2017 21:00","1032","0"
"03.01.2017 21:00 - 03.01.2017 22:00","1024","0"
"03.01.2017 22:00 - 03.01.2017 23:00","1037","0"
"03.01.2017 23:00 - 04.01.2017 00:00","1041","0"
"04.01.2017 00:00 - 04.01.2017 01:00","1003","0"
"04.01.2017 01:00 - 04.01.2017 02:00","1047","0"
"04.01.2017 02:00 - 04.01.2017 03:00","966","0"
"04.01.2017 03:00 - 04.01.2017 04:00","0","133"
"04.01.2017 04:00 - 04.01.2017 05:00","0","427"
"04.01.2017 05:00 - 04.01.2017 06:00","0","457"
"04.01.2017 06:00 - 04.01.2017 07:00","0","448"
"04.01.2017 07:00 - 04.01.2017 08:00","0","178"
"04.01.2017 08:00 - 04.01.2017 09:00","957","0"
"04.01.2017 09:00 - 04.01.2017 10:00","1039","0"
"04.01.2017 10:00 - 04.01.2017 11:00","1045","0"
"04.01.2017 11:00 - 04.01.2017 12:00","1014","0"
"04.01.2017 12:00 - 04.01.2017 13:00","1010","0"
"04.01.2017 13:00 - 04.01.2017 14:00","1041","0"
"04.01.2017 14:00 - 04.01.2017 15:00","1016","0"
"04.01.2017 15:00 - 04.01.2017 16:00","1023","0"
"04.01.2017 16:00 - 04.01.2017 17:00","1020","0"
"04.01.2017 17:00 - 04.01.2017 18:00","1033","0"
"04.01.2017 18:00 - 04.01.2017 19:00","1016","0"
"04.01.2017 19:00 - 04.01.2017 20:00","1039","0"
"04.01.2017 20:00 - 04.01.2017 21:00","1030","0"
"04.01.2017 21:00 - 04.01.2017 22:00","1044","0"
"04.01.2017 22:00 - 04.01.2017 23:00","1039","0"
"04.01.2017 23:00 - 05.01.2017 00:00","997","0"
"05.01.2017 00:00 - 05.01.2017 01:00","1029","0"
"05.01.2017 01:00 - 05.01.2017 02:00","1031","0"
"05.01.2017 02:00 - 05.01.2017 03:00","1027","0"
"05.01.2017 03:00 - 05.01.2017 04:00","1014","0"
"05.01.2017 04:00 - 05.01.2017 05:00","1010","0"
"05.01.2017 05:00 - 05.01.2017 06:00","998","0"
"05.01.2017 06:00 - 05.01.2017 07:00","1036","0"
"05.01.2017 07:00 - 05.01.2017 08:00","1026","0"
"05.01.2017 08:00 - 05.01.2017 09:00","517","0"
"05.01.2017 09:00 - 05.01.2017 10:00","960","0"
"05.01.2017 10:00 - 05.01.2017 11:00","996","0"
"05.01.2017 11:00 - 05.01.2017 12:00","974","0"
"05.01.2017 12:00 - 05.01.2017 13:00","874","0"
"05.01.2017 13:00 - 05.01.2017 14:00","895","0"
"05.01.2017 14:00 - 05.01.2017 15:00","873","0"
"05.01.2017 15:00 - 05.01.2017 16:00","0","257"
"05.01.2017 16:00 - 05.01.2017 17:00","0","614"
"05.01.2017 17:00 - 05.01.2017 18:00","591","0"
"05.01.2017 18:00 - 05.01.2017 19:00","693","0"
"05.01.2017 19:00 - 05.01.2017 20:00","969","0"
"05.01.2017 20:00 - 05.01.2017 21:00","974","0"
"05.01.2017 21:00 - 05.01.2017 22:00","1015","0"
"05.01.2017 22:00 - 05.01.2017 23:00","1011","0"
"05.01.2017 23:00 - 06.01.2017 00:00","1046","0"
"06.01.2017 00:00 - 06.01.2017 01:00","1035","0"
"06.01.2017 01:00 - 06.01.2017 02:00","1063","0"
"06.01.2017 02:00 - 06.01.2017 03:00","1031","0"
"06.01.2017 03:00 - 06.01.2017 04:00","1017","0"
"06.01.2017 04:00 - 06.01.2017 05:00","1026","0"
"06.01.2017 05:00 - 06.01.2017 06:00","1025","0"
"06.01.2017 06:00 - 06.01.2017 07:00","1030","0"
"06.01.2017 07:00 - 06.01.2017 08:00","1029","0"
"06.01.2017 08:00 - 06.01.2017 09:00","526","0"
"06.01.2017 09:00 - 06.01.2017 10:00","298","0"
"06.01.2017 10:00 - 06.01.2017 11:00","304","0"
"06.01.2017 11:00 - 06.01.2017 12:00","545","0"
"06.01.2017 12:00 - 06.01.2017 13:00","1036","0"
"06.01.2017 13:00 - 06.01.2017 14:00","868","0"
"06.01.2017 14:00 - 06.01.2017 15:00","938","0"
"06.01.2017 15:00 - 06.01.2017 16:00","694","0"
"06.01.2017 16:00 - 06.01.2017 17:00","661","0"
"06.01.2017 17:00 - 06.01.2017 18:00","874","0"
"06.01.2017 18:00 - 06.01.2017 19:00","1035","0"
"06.01.2017 19:00 - 06.01.2017 20:00","1024","0"
"06.01.2017 20:00 - 06.01.2017 21:00","1024","0"
"06.01.2017 21:00 - 06.01.2017 22:00","1024","0"
"06.01.2017 22:00 - 06.01.2017 23:00","1024","0"
"06.01.2017 23:00 - 07.01.2017 00:00","1024","0"
"07.01.2017 00:00 - 07.01.2017 01:00","1023","0"
"07.01.2017 01:00 - 07.01.2017 02:00","1024","0"
"07.01.2017 02:00 - 07.01.2017 03:00","1050","0"
"07.01.2017 03:00 - 07.01.2017 04:00","1034","0"
"07.01.2017 04:00 - 07.01.2017 05:00","1024","0"
"07.01.2017 05:00 - 07.01.2017 06:00","1024","0"
"07.01.2017 06:00 - 07.01.2017 07:00","1024","0"
