"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO2","01.01.2018 00:00 - 01.01.2018 01:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","211","5349","n/e","n/e","45","n/e","n/e","n/e","n/e","471"
"BZN|NO2","01.01.2018 01:00 - 01.01.2018 02:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","211","5514","n/e","n/e","45","n/e","n/e","n/e","n/e","457"
"BZN|NO2","01.01.2018 02:00 - 01.01.2018 03:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","211","4789","n/e","n/e","45","n/e","n/e","n/e","n/e","440"
"BZN|NO2","01.01.2018 03:00 - 01.01.2018 04:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","211","4132","n/e","n/e","44","n/e","n/e","n/e","n/e","421"
"BZN|NO2","01.01.2018 04:00 - 01.01.2018 05:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","212","4091","n/e","n/e","44","n/e","n/e","n/e","n/e","407"
"BZN|NO2","01.01.2018 05:00 - 01.01.2018 06:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","212","4140","n/e","n/e","44","n/e","n/e","n/e","n/e","390"
"BZN|NO2","01.01.2018 06:00 - 01.01.2018 07:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","213","4235","n/e","n/e","44","n/e","n/e","n/e","n/e","375"
"BZN|NO2","01.01.2018 07:00 - 01.01.2018 08:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","212","4668","n/e","n/e","44","n/e","n/e","n/e","n/e","350"
"BZN|NO2","01.01.2018 08:00 - 01.01.2018 09:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","213","4544","n/e","n/e","44","n/e","n/e","n/e","n/e","326"
"BZN|NO2","01.01.2018 09:00 - 01.01.2018 10:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","213","4693","n/e","n/e","43","n/e","n/e","n/e","n/e","270"
"BZN|NO2","01.01.2018 10:00 - 01.01.2018 11:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","217","5137","n/e","n/e","43","n/e","n/e","n/e","n/e","240"
"BZN|NO2","01.01.2018 11:00 - 01.01.2018 12:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","220","5481","n/e","n/e","43","n/e","n/e","n/e","n/e","231"
"BZN|NO2","01.01.2018 12:00 - 01.01.2018 13:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","224","5593","n/e","n/e","43","n/e","n/e","n/e","n/e","208"
"BZN|NO2","01.01.2018 13:00 - 01.01.2018 14:00 (CET/CEST)","n/e","n/e","n/e","4","n/e","n/e","n/e","n/e","n/e","n/e","n/e","224","5616","n/e","n/e","43","n/e","n/e","n/e","n/e","214"
