"Time (CET/CEST)","BZN|BE > BZN|GB [MW]","BZN|GB > BZN|BE [MW]"
"04.01.2022 01:15 - 04.01.2022 01:30","652","0"
"04.01.2022 01:30 - 04.01.2022 01:45","652","0"
"04.01.2022 01:45 - 04.01.2022 02:00","652","0"
"04.01.2022 02:00 - 04.01.2022 02:15","623","0"
"04.01.2022 02:15 - 04.01.2022 02:30","623","0"
"04.01.2022 02:30 - 04.01.2022 02:45","623","0"
"04.01.2022 02:45 - 04.01.2022 03:00","623","0"
"04.01.2022 03:00 - 04.01.2022 03:15","708","0"
"04.01.2022 03:15 - 04.01.2022 03:30","709","0"
"04.01.2022 03:30 - 04.01.2022 03:45","709","0"
"04.01.2022 03:45 - 04.01.2022 04:00","710","0"
"04.01.2022 04:00 - 04.01.2022 04:15","836","0"
"04.01.2022 04:15 - 04.01.2022 04:30","837","0"
"04.01.2022 04:30 - 04.01.2022 04:45","837","0"
"04.01.2022 04:45 - 04.01.2022 05:00","834","0"
"04.01.2022 05:00 - 04.01.2022 05:15","650","0"
"04.01.2022 05:15 - 04.01.2022 05:30","647","0"
"04.01.2022 05:30 - 04.01.2022 05:45","647","0"
"04.01.2022 05:45 - 04.01.2022 06:00","647","0"
"04.01.2022 06:00 - 04.01.2022 06:15","563","0"
"04.01.2022 06:15 - 04.01.2022 06:30","562","0"
"04.01.2022 06:30 - 04.01.2022 06:45","562","0"
"04.01.2022 06:45 - 04.01.2022 07:00","518","0"
"04.01.2022 07:00 - 04.01.2022 07:15","0","122"
"04.01.2022 07:15 - 04.01.2022 07:30","0","165"
"04.01.2022 07:30 - 04.01.2022 07:45","0","165"
"04.01.2022 07:45 - 04.01.2022 08:00","0","141"
"04.01.2022 08:00 - 04.01.2022 08:15","350","0"
"04.01.2022 08:15 - 04.01.2022 08:30","373","0"
"04.01.2022 08:30 - 04.01.2022 08:45","373","0"
"04.01.2022 08:45 - 04.01.2022 09:00","374","0"
"04.01.2022 09:00 - 04.01.2022 09:15","478","0"
"04.01.2022 09:15 - 04.01.2022 09:30","479","0"
"04.01.2022 09:30 - 04.01.2022 09:45","479","0"
"04.01.2022 09:45 - 04.01.2022 10:00","492","0"
"04.01.2022 10:00 - 04.01.2022 10:15","858","0"
"04.01.2022 10:15 - 04.01.2022 10:30","870","0"
"04.01.2022 10:30 - 04.01.2022 10:45","870","0"
"04.01.2022 10:45 - 04.01.2022 11:00","871","0"
"04.01.2022 11:00 - 04.01.2022 11:15","984","0"
"04.01.2022 11:15 - 04.01.2022 11:30","985","0"
"04.01.2022 11:30 - 04.01.2022 11:45","985","0"
"04.01.2022 11:45 - 04.01.2022 12:00","983","0"
"04.01.2022 12:00 - 04.01.2022 12:15","811","0"
"04.01.2022 12:15 - 04.01.2022 12:30","809","0"
"04.01.2022 12:30 - 04.01.2022 12:45","809","0"
"04.01.2022 12:45 - 04.01.2022 13:00","809","0"
"04.01.2022 13:00 - 04.01.2022 13:15","870","0"
"04.01.2022 13:15 - 04.01.2022 13:30","870","0"
"04.01.2022 13:30 - 04.01.2022 13:45","870","0"
"04.01.2022 13:45 - 04.01.2022 14:00","871","0"
"04.01.2022 14:00 - 04.01.2022 14:15","965","0"
"04.01.2022 14:15 - 04.01.2022 14:30","966","0"
"04.01.2022 14:30 - 04.01.2022 14:45","965","0"
"04.01.2022 14:45 - 04.01.2022 15:00","965","0"
"04.01.2022 15:00 - 04.01.2022 15:15","871","0"
"04.01.2022 15:15 - 04.01.2022 15:30","870","0"
"04.01.2022 15:30 - 04.01.2022 15:45","870","0"
"04.01.2022 15:45 - 04.01.2022 16:00","868","0"
"04.01.2022 16:00 - 04.01.2022 16:15","714","0"
"04.01.2022 16:15 - 04.01.2022 16:30","712","0"
"04.01.2022 16:30 - 04.01.2022 16:45","712","0"
"04.01.2022 16:45 - 04.01.2022 17:00","715","0"
"04.01.2022 17:00 - 04.01.2022 17:15","908","0"
"04.01.2022 17:15 - 04.01.2022 17:30","911","0"
"04.01.2022 17:30 - 04.01.2022 17:45","911","0"
"04.01.2022 17:45 - 04.01.2022 18:00","911","0"
"04.01.2022 18:00 - 04.01.2022 18:15","875","0"
"04.01.2022 18:15 - 04.01.2022 18:30","875","0"
"04.01.2022 18:30 - 04.01.2022 18:45","874","0"
"04.01.2022 18:45 - 04.01.2022 19:00","867","0"
"04.01.2022 19:00 - 04.01.2022 19:15","566","0"
"04.01.2022 19:15 - 04.01.2022 19:30","558","0"
"04.01.2022 19:30 - 04.01.2022 19:45","558","0"
"04.01.2022 19:45 - 04.01.2022 20:00","559","0"
"04.01.2022 20:00 - 04.01.2022 20:15","649","0"
"04.01.2022 20:15 - 04.01.2022 20:30","649","0"
"04.01.2022 20:30 - 04.01.2022 20:45","649","0"
"04.01.2022 20:45 - 04.01.2022 21:00","656","0"
"04.01.2022 21:00 - 04.01.2022 21:15","934","0"
"04.01.2022 21:15 - 04.01.2022 21:30","941","0"
"04.01.2022 21:30 - 04.01.2022 21:45","941","0"
"04.01.2022 21:45 - 04.01.2022 22:00","940","0"
"04.01.2022 22:00 - 04.01.2022 22:15","835","0"
"04.01.2022 22:15 - 04.01.2022 22:30","834","0"
"04.01.2022 22:30 - 04.01.2022 22:45","834","0"
"04.01.2022 22:45 - 04.01.2022 23:00","830","0"
"04.01.2022 23:00 - 04.01.2022 23:15","596","0"
"04.01.2022 23:15 - 04.01.2022 23:30","592","0"
"04.01.2022 23:30 - 04.01.2022 23:45","592","0"
"04.01.2022 23:45 - 05.01.2022 00:00","606","0"
"05.01.2022 00:00 - 05.01.2022 00:15","1008","0"
"05.01.2022 00:15 - 05.01.2022 00:30","1023","0"
"05.01.2022 00:30 - 05.01.2022 00:45","1023","0"
"05.01.2022 00:45 - 05.01.2022 01:00","1022","0"
"05.01.2022 01:00 - 05.01.2022 01:15","926","0"
"05.01.2022 01:15 - 05.01.2022 01:30","925","0"
"05.01.2022 01:30 - 05.01.2022 01:45","925","0"
"05.01.2022 01:45 - 05.01.2022 02:00","925","0"
"05.01.2022 02:00 - 05.01.2022 02:15","921","0"
"05.01.2022 02:15 - 05.01.2022 02:30","921","0"
"05.01.2022 02:30 - 05.01.2022 02:45","921","0"
"05.01.2022 02:45 - 05.01.2022 03:00","920","0"
"05.01.2022 03:00 - 05.01.2022 03:15","861","0"
"05.01.2022 03:15 - 05.01.2022 03:30","861","0"
"05.01.2022 03:30 - 05.01.2022 03:45","861","0"
"05.01.2022 03:45 - 05.01.2022 04:00","863","0"
"05.01.2022 04:00 - 05.01.2022 04:15","1021","0"
"05.01.2022 04:15 - 05.01.2022 04:30","1023","0"
"05.01.2022 04:30 - 05.01.2022 04:45","1023","0"
"05.01.2022 04:45 - 05.01.2022 05:00","1022","0"
"05.01.2022 05:00 - 05.01.2022 05:15","921","0"
"05.01.2022 05:15 - 05.01.2022 05:30","921","0"
"05.01.2022 05:30 - 05.01.2022 05:45","921","0"
"05.01.2022 05:45 - 05.01.2022 06:00","921","0"
"05.01.2022 06:00 - 05.01.2022 06:15","998","0"
"05.01.2022 06:15 - 05.01.2022 06:30","998","0"
"05.01.2022 06:30 - 05.01.2022 06:45","998","0"
"05.01.2022 06:45 - 05.01.2022 07:00","998","0"
"05.01.2022 07:00 - 05.01.2022 07:15","999","0"
"05.01.2022 07:15 - 05.01.2022 07:30","999","0"
"05.01.2022 07:30 - 05.01.2022 07:45","999","0"
"05.01.2022 07:45 - 05.01.2022 08:00","998","0"
"05.01.2022 08:00 - 05.01.2022 08:15","932","0"
"05.01.2022 08:15 - 05.01.2022 08:30","931","0"
"05.01.2022 08:30 - 05.01.2022 08:45","931","0"
"05.01.2022 08:45 - 05.01.2022 09:00","930","0"
"05.01.2022 09:00 - 05.01.2022 09:15","810","0"
"05.01.2022 09:15 - 05.01.2022 09:30","809","0"
"05.01.2022 09:30 - 05.01.2022 09:45","809","0"
"05.01.2022 09:45 - 05.01.2022 10:00","809","0"
"05.01.2022 10:00 - 05.01.2022 10:15","880","0"
"05.01.2022 10:15 - 05.01.2022 10:30","881","0"
"05.01.2022 10:30 - 05.01.2022 10:45","881","0"
"05.01.2022 10:45 - 05.01.2022 11:00","878","0"
"05.01.2022 11:00 - 05.01.2022 11:15","686","0"
"05.01.2022 11:15 - 05.01.2022 11:30","683","0"
"05.01.2022 11:30 - 05.01.2022 11:45","683","0"
"05.01.2022 11:45 - 05.01.2022 12:00","685","0"
"05.01.2022 12:00 - 05.01.2022 12:15","827","0"
"05.01.2022 12:15 - 05.01.2022 12:30","829","0"
"05.01.2022 12:30 - 05.01.2022 12:45","829","0"
"05.01.2022 12:45 - 05.01.2022 13:00","828","0"
"05.01.2022 13:00 - 05.01.2022 13:15","720","0"
"05.01.2022 13:15 - 05.01.2022 13:30","719","0"
"05.01.2022 13:30 - 05.01.2022 13:45","719","0"
"05.01.2022 13:45 - 05.01.2022 14:00","718","0"
"05.01.2022 14:00 - 05.01.2022 14:15","632","0"
"05.01.2022 14:15 - 05.01.2022 14:30","632","0"
"05.01.2022 14:30 - 05.01.2022 14:45","632","0"
"05.01.2022 14:45 - 05.01.2022 15:00","634","0"
"05.01.2022 15:00 - 05.01.2022 15:15","788","0"
"05.01.2022 15:15 - 05.01.2022 15:30","790","0"
"05.01.2022 15:30 - 05.01.2022 15:45","790","0"
"05.01.2022 15:45 - 05.01.2022 16:00","785","0"
"05.01.2022 16:00 - 05.01.2022 16:15","557","0"
"05.01.2022 16:15 - 05.01.2022 16:30","553","0"
"05.01.2022 16:30 - 05.01.2022 16:45","553","0"
"05.01.2022 16:45 - 05.01.2022 17:00","553","0"
"05.01.2022 17:00 - 05.01.2022 17:15","487","0"
"05.01.2022 17:15 - 05.01.2022 17:30","487","0"
"05.01.2022 17:30 - 05.01.2022 17:45","487","0"
"05.01.2022 17:45 - 05.01.2022 18:00","509","0"
"05.01.2022 18:00 - 05.01.2022 18:15","985","0"
"05.01.2022 18:15 - 05.01.2022 18:30","1007","0"
"05.01.2022 18:30 - 05.01.2022 18:45","1007","0"
"05.01.2022 18:45 - 05.01.2022 19:00","1007","0"
"05.01.2022 19:00 - 05.01.2022 19:15","1038","0"
