"Time (CET/CEST)","BZN|BE > BZN|GB [MW]","BZN|GB > BZN|BE [MW]"
"01.01.2022 00:00 - 01.01.2022 00:15","33","0"
"01.01.2022 00:15 - 01.01.2022 00:30","0","3"
"01.01.2022 00:30 - 01.01.2022 00:45","0","3"
"01.01.2022 00:45 - 01.01.2022 01:00","0","4"
"01.01.2022 01:00 - 01.01.2022 01:15","0","101"
"01.01.2022 01:15 - 01.01.2022 01:30","0","102"
"01.01.2022 01:30 - 01.01.2022 01:45","0","102"
"01.01.2022 01:45 - 01.01.2022 02:00","0","101"
"01.01.2022 02:00 - 01.01.2022 02:15","0","5"
"01.01.2022 02:15 - 01.01.2022 02:30","0","4"
"01.01.2022 02:30 - 01.01.2022 02:45","0","4"
"01.01.2022 02:45 - 01.01.2022 03:00","0","32"
"01.01.2022 03:00 - 01.01.2022 03:15","0","551"
"01.01.2022 03:15 - 01.01.2022 03:30","0","577"
"01.01.2022 03:30 - 01.01.2022 03:45","0","577"
"01.01.2022 03:45 - 01.01.2022 04:00","0","586"
"01.01.2022 04:00 - 01.01.2022 04:15","0","904"
"01.01.2022 04:15 - 01.01.2022 04:30","0","912"
"01.01.2022 04:30 - 01.01.2022 04:45","0","912"
"01.01.2022 04:45 - 01.01.2022 05:00","0","912"
"01.01.2022 05:00 - 01.01.2022 05:15","0","968"
"01.01.2022 05:15 - 01.01.2022 05:30","0","968"
"01.01.2022 05:30 - 01.01.2022 05:45","0","968"
"01.01.2022 05:45 - 01.01.2022 06:00","0","968"
"01.01.2022 06:00 - 01.01.2022 06:15","0","989"
"01.01.2022 06:15 - 01.01.2022 06:30","0","989"
"01.01.2022 06:30 - 01.01.2022 06:45","0","989"
"01.01.2022 06:45 - 01.01.2022 07:00","0","989"
"01.01.2022 07:00 - 01.01.2022 07:15","0","989"
"01.01.2022 07:15 - 01.01.2022 07:30","0","989"
"01.01.2022 07:30 - 01.01.2022 07:45","0","989"
"01.01.2022 07:45 - 01.01.2022 08:00","0","989"
"01.01.2022 08:00 - 01.01.2022 08:15","0","1001"
"01.01.2022 08:15 - 01.01.2022 08:30","0","1001"
"01.01.2022 08:30 - 01.01.2022 08:45","0","1001"
"01.01.2022 08:45 - 01.01.2022 09:00","0","1001"
"01.01.2022 09:00 - 01.01.2022 09:15","0","1001"
"01.01.2022 09:15 - 01.01.2022 09:30","0","1001"
"01.01.2022 09:30 - 01.01.2022 09:45","0","1001"
"01.01.2022 09:45 - 01.01.2022 10:00","0","989"
"01.01.2022 10:00 - 01.01.2022 10:15","0","646"
"01.01.2022 10:15 - 01.01.2022 10:30","0","636"
"01.01.2022 10:30 - 01.01.2022 10:45","0","636"
"01.01.2022 10:45 - 01.01.2022 11:00","0","570"
"01.01.2022 11:00 - 01.01.2022 11:15","187","0"
"01.01.2022 11:15 - 01.01.2022 11:30","252","0"
"01.01.2022 11:30 - 01.01.2022 11:45","252","0"
"01.01.2022 11:45 - 01.01.2022 12:00","261","0"
"01.01.2022 12:00 - 01.01.2022 12:15","582","0"
"01.01.2022 12:15 - 01.01.2022 12:30","591","0"
"01.01.2022 12:30 - 01.01.2022 12:45","591","0"
"01.01.2022 12:45 - 01.01.2022 13:00","591","0"
"01.01.2022 13:00 - 01.01.2022 13:15","551","0"
"01.01.2022 13:15 - 01.01.2022 13:30","551","0"
"01.01.2022 13:30 - 01.01.2022 13:45","551","0"
"01.01.2022 13:45 - 01.01.2022 14:00","569","0"
"01.01.2022 14:00 - 01.01.2022 14:15","1005","0"
"01.01.2022 14:15 - 01.01.2022 14:30","1023","0"
"01.01.2022 14:30 - 01.01.2022 14:45","1023","0"
"01.01.2022 14:45 - 01.01.2022 15:00","1023","0"
"01.01.2022 15:00 - 01.01.2022 15:15","1023","0"
"01.01.2022 15:15 - 01.01.2022 15:30","1023","0"
"01.01.2022 15:30 - 01.01.2022 15:45","1023","0"
"01.01.2022 15:45 - 01.01.2022 16:00","1023","0"
"01.01.2022 16:00 - 01.01.2022 16:15","1008","0"
"01.01.2022 16:15 - 01.01.2022 16:30","1008","0"
"01.01.2022 16:30 - 01.01.2022 16:45","1008","0"
"01.01.2022 16:45 - 01.01.2022 17:00","1007","0"
"01.01.2022 17:00 - 01.01.2022 17:15","888","0"
"01.01.2022 17:15 - 01.01.2022 17:30","887","0"
"01.01.2022 17:30 - 01.01.2022 17:45","887","0"
"01.01.2022 17:45 - 01.01.2022 18:00","887","0"
"01.01.2022 18:00 - 01.01.2022 18:15","942","0"
"01.01.2022 18:15 - 01.01.2022 18:30","942","0"
"01.01.2022 18:30 - 01.01.2022 18:45","942","0"
"01.01.2022 18:45 - 01.01.2022 19:00","940","0"
"01.01.2022 19:00 - 01.01.2022 19:15","797","0"
"01.01.2022 19:15 - 01.01.2022 19:30","795","0"
"01.01.2022 19:30 - 01.01.2022 19:45","795","0"
"01.01.2022 19:45 - 01.01.2022 20:00","796","0"
"01.01.2022 20:00 - 01.01.2022 20:15","865","0"
"01.01.2022 20:15 - 01.01.2022 20:30","865","0"
"01.01.2022 20:30 - 01.01.2022 20:45","865","0"
"01.01.2022 20:45 - 01.01.2022 21:00","862","0"
"01.01.2022 21:00 - 01.01.2022 21:15","665","0"
"01.01.2022 21:15 - 01.01.2022 21:30","662","0"
"01.01.2022 21:30 - 01.01.2022 21:45","662","0"
"01.01.2022 21:45 - 01.01.2022 22:00","664","0"
"01.01.2022 22:00 - 01.01.2022 22:15","814","0"
"01.01.2022 22:15 - 01.01.2022 22:30","816","0"
"01.01.2022 22:30 - 01.01.2022 22:45","816","0"
"01.01.2022 22:45 - 01.01.2022 23:00","813","0"
"01.01.2022 23:00 - 01.01.2022 23:15","629","0"
"01.01.2022 23:15 - 01.01.2022 23:30","627","0"
"01.01.2022 23:30 - 01.01.2022 23:45","627","0"
"01.01.2022 23:45 - 02.01.2022 00:00","612","0"
"02.01.2022 00:00 - 02.01.2022 00:15","226","0"
"02.01.2022 00:15 - 02.01.2022 00:30","212","0"
"02.01.2022 00:30 - 02.01.2022 00:45","212","0"
"02.01.2022 00:45 - 02.01.2022 01:00","219","0"
"02.01.2022 01:00 - 02.01.2022 01:15","493","0"
"02.01.2022 01:15 - 02.01.2022 01:30","500","0"
"02.01.2022 01:30 - 02.01.2022 01:45","500","0"
"02.01.2022 01:45 - 02.01.2022 02:00","501","0"
"02.01.2022 02:00 - 02.01.2022 02:15","642","0"
"02.01.2022 02:15 - 02.01.2022 02:30","644","0"
"02.01.2022 02:30 - 02.01.2022 02:45","644","0"
"02.01.2022 02:45 - 02.01.2022 03:00","621","0"
"02.01.2022 03:00 - 02.01.2022 03:15","142","0"
"02.01.2022 03:15 - 02.01.2022 03:30","119","0"
"02.01.2022 03:30 - 02.01.2022 03:45","119","0"
"02.01.2022 03:45 - 02.01.2022 04:00","103","0"
"02.01.2022 04:00 - 02.01.2022 04:15","0","307"
"02.01.2022 04:15 - 02.01.2022 04:30","0","322"
"02.01.2022 04:30 - 02.01.2022 04:45","0","322"
"02.01.2022 04:45 - 02.01.2022 05:00","0","343"
"02.01.2022 05:00 - 02.01.2022 05:15","0","801"
"02.01.2022 05:15 - 02.01.2022 05:30","0","820"
"02.01.2022 05:30 - 02.01.2022 05:45","0","820"
"02.01.2022 05:45 - 02.01.2022 06:00","0","819"
"02.01.2022 06:00 - 02.01.2022 06:15","0","729"
"02.01.2022 06:15 - 02.01.2022 06:30","0","729"
"02.01.2022 06:30 - 02.01.2022 06:45","0","729"
"02.01.2022 06:45 - 02.01.2022 07:00","0","731"
"02.01.2022 07:00 - 02.01.2022 07:15","0","884"
"02.01.2022 07:15 - 02.01.2022 07:30","0","886"
"02.01.2022 07:30 - 02.01.2022 07:45","0","886"
"02.01.2022 07:45 - 02.01.2022 08:00","0","885"
"02.01.2022 08:00 - 02.01.2022 08:15","0","782"
"02.01.2022 08:15 - 02.01.2022 08:30","0","782"
"02.01.2022 08:30 - 02.01.2022 08:45","0","782"
"02.01.2022 08:45 - 02.01.2022 09:00","0","718"
"02.01.2022 09:00 - 02.01.2022 09:15","28","0"
"02.01.2022 09:15 - 02.01.2022 09:30","90","0"
"02.01.2022 09:30 - 02.01.2022 09:45","90","0"
"02.01.2022 09:45 - 02.01.2022 10:00","88","0"
"02.01.2022 10:00 - 02.01.2022 10:15","0","63"
"02.01.2022 10:15 - 02.01.2022 10:30","0","65"
"02.01.2022 10:30 - 02.01.2022 10:45","0","65"
"02.01.2022 10:45 - 02.01.2022 11:00","0","26"
"02.01.2022 11:00 - 02.01.2022 11:15","583","0"
"02.01.2022 11:15 - 02.01.2022 11:30","621","0"
"02.01.2022 11:30 - 02.01.2022 11:45","621","0"
"02.01.2022 11:45 - 02.01.2022 12:00","627","0"
"02.01.2022 12:00 - 02.01.2022 12:15","866","0"
"02.01.2022 12:15 - 02.01.2022 12:30","871","0"
"02.01.2022 12:30 - 02.01.2022 12:45","871","0"
"02.01.2022 12:45 - 02.01.2022 13:00","871","0"
"02.01.2022 13:00 - 02.01.2022 13:15","921","0"
"02.01.2022 13:15 - 02.01.2022 13:30","921","0"
"02.01.2022 13:30 - 02.01.2022 13:45","921","0"
"02.01.2022 13:45 - 02.01.2022 14:00","922","0"
"02.01.2022 14:00 - 02.01.2022 14:15","1012","0"
"02.01.2022 14:15 - 02.01.2022 14:30","1013","0"
"02.01.2022 14:30 - 02.01.2022 14:45","1013","0"
"02.01.2022 14:45 - 02.01.2022 15:00","1011","0"
"02.01.2022 15:00 - 02.01.2022 15:15","857","0"
"02.01.2022 15:15 - 02.01.2022 15:30","855","0"
"02.01.2022 15:30 - 02.01.2022 15:45","855","0"
"02.01.2022 15:45 - 02.01.2022 16:00","856","0"
"02.01.2022 16:00 - 02.01.2022 16:15","975","0"
"02.01.2022 16:15 - 02.01.2022 16:30","976","0"
"02.01.2022 16:30 - 02.01.2022 16:45","976","0"
"02.01.2022 16:45 - 02.01.2022 17:00","976","0"
"02.01.2022 17:00 - 02.01.2022 17:15","1044","0"
"02.01.2022 17:15 - 02.01.2022 17:30","1044","0"
"02.01.2022 17:30 - 02.01.2022 17:45","1044","0"
"02.01.2022 17:45 - 02.01.2022 18:00","1044","0"
"02.01.2022 18:00 - 02.01.2022 18:15","1044","0"
"02.01.2022 18:15 - 02.01.2022 18:30","1044","0"
"02.01.2022 18:30 - 02.01.2022 18:45","1045","0"
"02.01.2022 18:45 - 02.01.2022 19:00","1044","0"
"02.01.2022 19:00 - 02.01.2022 19:15","1044","0"
"02.01.2022 19:15 - 02.01.2022 19:30","1044","0"
"02.01.2022 19:30 - 02.01.2022 19:45","1043","0"
"02.01.2022 19:45 - 02.01.2022 20:00","1044","0"
"02.01.2022 20:00 - 02.01.2022 20:15","1044","0"
"02.01.2022 20:15 - 02.01.2022 20:30","1044","0"
"02.01.2022 20:30 - 02.01.2022 20:45","1044","0"
"02.01.2022 20:45 - 02.01.2022 21:00","1044","0"
"02.01.2022 21:00 - 02.01.2022 21:15","1044","0"
"02.01.2022 21:15 - 02.01.2022 21:30","1044","0"
"02.01.2022 21:30 - 02.01.2022 21:45","1044","0"
"02.01.2022 21:45 - 02.01.2022 22:00","1041","0"
"02.01.2022 22:00 - 02.01.2022 22:15","856","0"
"02.01.2022 22:15 - 02.01.2022 22:30","853","0"
"02.01.2022 22:30 - 02.01.2022 22:45","853","0"
"02.01.2022 22:45 - 02.01.2022 23:00","803","0"
"02.01.2022 23:00 - 02.01.2022 23:15","121","0"
"02.01.2022 23:15 - 02.01.2022 23:30","72","0"
"02.01.2022 23:30 - 02.01.2022 23:45","72","0"
"02.01.2022 23:45 - 03.01.2022 00:00","82","0"
"03.01.2022 00:00 - 03.01.2022 00:15","417","0"
"03.01.2022 00:15 - 03.01.2022 00:30","427","0"
"03.01.2022 00:30 - 03.01.2022 00:45","427","0"
"03.01.2022 00:45 - 03.01.2022 01:00","432","0"
"03.01.2022 01:00 - 03.01.2022 01:15","653","0"
"03.01.2022 01:15 - 03.01.2022 01:30","657","0"
"03.01.2022 01:30 - 03.01.2022 01:45","657","0"
"03.01.2022 01:45 - 03.01.2022 02:00","661","0"
"03.01.2022 02:00 - 03.01.2022 02:15","868","0"
"03.01.2022 02:15 - 03.01.2022 02:30","871","0"
"03.01.2022 02:30 - 03.01.2022 02:45","871","0"
"03.01.2022 02:45 - 03.01.2022 03:00","863","0"
"03.01.2022 03:00 - 03.01.2022 03:15","561","0"
"03.01.2022 03:15 - 03.01.2022 03:30","553","0"
"03.01.2022 03:30 - 03.01.2022 03:45","553","0"
"03.01.2022 03:45 - 03.01.2022 04:00","541","0"
"03.01.2022 04:00 - 03.01.2022 04:15","179","0"
"03.01.2022 04:15 - 03.01.2022 04:30","167","0"
"03.01.2022 04:30 - 03.01.2022 04:45","167","0"
"03.01.2022 04:45 - 03.01.2022 05:00","141","0"
"03.01.2022 05:00 - 03.01.2022 05:15","0","372"
"03.01.2022 05:15 - 03.01.2022 05:30","0","396"
"03.01.2022 05:30 - 03.01.2022 05:45","0","396"
"03.01.2022 05:45 - 03.01.2022 06:00","0","411"
"03.01.2022 06:00 - 03.01.2022 06:15","0","797"
"03.01.2022 06:15 - 03.01.2022 06:30","0","811"
"03.01.2022 06:30 - 03.01.2022 06:45","0","811"
"03.01.2022 06:45 - 03.01.2022 07:00","0","811"
"03.01.2022 07:00 - 03.01.2022 07:15","0","795"
"03.01.2022 07:15 - 03.01.2022 07:30","0","795"
"03.01.2022 07:30 - 03.01.2022 07:45","0","795"
"03.01.2022 07:45 - 03.01.2022 08:00","0","797"
"03.01.2022 08:00 - 03.01.2022 08:15","0","975"
"03.01.2022 08:15 - 03.01.2022 08:30","0","977"
"03.01.2022 08:30 - 03.01.2022 08:45","0","977"
"03.01.2022 08:45 - 03.01.2022 09:00","0","910"
"03.01.2022 09:00 - 03.01.2022 09:15","0","146"
"03.01.2022 09:15 - 03.01.2022 09:30","0","82"
"03.01.2022 09:30 - 03.01.2022 09:45","0","82"
"03.01.2022 09:45 - 03.01.2022 10:00","0","87"
"03.01.2022 10:00 - 03.01.2022 10:15","0","322"
"03.01.2022 10:15 - 03.01.2022 10:30","0","326"
"03.01.2022 10:30 - 03.01.2022 10:45","0","326"
"03.01.2022 10:45 - 03.01.2022 11:00","0","278"
"03.01.2022 11:00 - 03.01.2022 11:15","391","0"
"03.01.2022 11:15 - 03.01.2022 11:30","440","0"
"03.01.2022 11:30 - 03.01.2022 11:45","440","0"
"03.01.2022 11:45 - 03.01.2022 12:00","444","0"
"03.01.2022 12:00 - 03.01.2022 12:15","670","0"
"03.01.2022 12:15 - 03.01.2022 12:30","674","0"
"03.01.2022 12:30 - 03.01.2022 12:45","674","0"
"03.01.2022 12:45 - 03.01.2022 13:00","675","0"
"03.01.2022 13:00 - 03.01.2022 13:15","821","0"
"03.01.2022 13:15 - 03.01.2022 13:30","823","0"
"03.01.2022 13:30 - 03.01.2022 13:45","823","0"
"03.01.2022 13:45 - 03.01.2022 14:00","824","0"
"03.01.2022 14:00 - 03.01.2022 14:15","961","0"
"03.01.2022 14:15 - 03.01.2022 14:30","962","0"
"03.01.2022 14:30 - 03.01.2022 14:45","962","0"
"03.01.2022 14:45 - 03.01.2022 15:00","961","0"
"03.01.2022 15:00 - 03.01.2022 15:15","831","0"
"03.01.2022 15:15 - 03.01.2022 15:30","830","0"
"03.01.2022 15:30 - 03.01.2022 15:45","830","0"
"03.01.2022 15:45 - 03.01.2022 16:00","830","0"
"03.01.2022 16:00 - 03.01.2022 16:15","759","0"
"03.01.2022 16:15 - 03.01.2022 16:30","759","0"
"03.01.2022 16:30 - 03.01.2022 16:45","759","0"
"03.01.2022 16:45 - 03.01.2022 17:00","760","0"
"03.01.2022 17:00 - 03.01.2022 17:15","869","0"
"03.01.2022 17:15 - 03.01.2022 17:30","870","0"
"03.01.2022 17:30 - 03.01.2022 17:45","870","0"
"03.01.2022 17:45 - 03.01.2022 18:00","871","0"
"03.01.2022 18:00 - 03.01.2022 18:15","950","0"
"03.01.2022 18:15 - 03.01.2022 18:30","951","0"
"03.01.2022 18:30 - 03.01.2022 18:45","951","0"
"03.01.2022 18:45 - 03.01.2022 19:00","951","0"
"03.01.2022 19:00 - 03.01.2022 19:15","992","0"
"03.01.2022 19:15 - 03.01.2022 19:30","992","0"
"03.01.2022 19:30 - 03.01.2022 19:45","992","0"
"03.01.2022 19:45 - 03.01.2022 20:00","993","0"
"03.01.2022 20:00 - 03.01.2022 20:15","1044","0"
"03.01.2022 20:15 - 03.01.2022 20:30","1044","0"
"03.01.2022 20:30 - 03.01.2022 20:45","1044","0"
"03.01.2022 20:45 - 03.01.2022 21:00","1044","0"
"03.01.2022 21:00 - 03.01.2022 21:15","976","0"
"03.01.2022 21:15 - 03.01.2022 21:30","976","0"
"03.01.2022 21:30 - 03.01.2022 21:45","976","0"
"03.01.2022 21:45 - 03.01.2022 22:00","976","0"
"03.01.2022 22:00 - 03.01.2022 22:15","1023","0"
"03.01.2022 22:15 - 03.01.2022 22:30","1024","0"
"03.01.2022 22:30 - 03.01.2022 22:45","1023","0"
"03.01.2022 22:45 - 03.01.2022 23:00","1013","0"
"03.01.2022 23:00 - 03.01.2022 23:15","665","0"
"03.01.2022 23:15 - 03.01.2022 23:30","654","0"
"03.01.2022 23:30 - 03.01.2022 23:45","654","0"
"03.01.2022 23:45 - 04.01.2022 00:00","661","0"
"04.01.2022 00:00 - 04.01.2022 00:15","941","0"
"04.01.2022 00:15 - 04.01.2022 00:30","948","0"
"04.01.2022 00:30 - 04.01.2022 00:45","948","0"
"04.01.2022 00:45 - 04.01.2022 01:00","941","0"
"04.01.2022 01:00 - 04.01.2022 01:15","659","0"
